time,EPL_tii2014.PLC.MN.NoEEE-Link Power
0.314625283862,17708
0.314625283862,17584
0.314625283862,17584
0.314625283862,17460
0.314632003861,17460
0.314632003861,17336
0.31464772386,17336
0.31464772386,17212
0.31465348386,17212
0.31465348386,17088
0.3240416,17088
0.3240416,17212
0.32408896,17212
0.32408896,17336
0.324137279999,17336
0.324137279999,19816
0.324137279999,19816
0.324137279999,21056
0.324137279999,21056
0.324137279999,21180
0.324179455999,21180
0.324179455999,21304
0.324184639999,21304
0.324184639999,21428
0.324185599998,21428
0.324185599998,21552
0.324185599998,21552
0.324185599998,21676
0.324185599998,21676
0.324185599998,21800
0.324185599998,21800
0.324185599998,21924
0.324185599998,21924
0.324185599998,22048
0.324185599998,22048
0.324185599998,22172
0.324185599998,22172
0.324185599998,22296
0.324185599998,22296
0.324185599998,22420
0.324185599998,22420
0.324185599998,22544
0.324185599998,22544
0.324185599998,22668
0.324185599998,22668
0.324185599998,22792
0.324185599998,22792
0.324185599998,22916
0.324185599998,22916
0.324185599998,23040
0.324185599998,23040
0.324185599998,23164
0.324185599998,23164
0.324185599998,23288
0.324185599998,23288
0.324185599998,23412
0.324185599998,23412
0.324185599998,23536
0.324185599998,23536
0.324185599998,23660
0.324185599998,23660
0.324185599998,23784
0.324185599998,23784
0.324185599998,23908
0.324185599998,23908
0.324185599998,24032
0.324185599998,24032
0.324185599998,24156
0.324185599998,24156
0.324185599998,24280
0.324185599998,24280
0.324185599998,24404
0.324185599998,24404
0.324185599998,24528
0.324185599998,24528
0.324185599998,24652
0.324185599998,24652
0.324185599998,24776
0.324185599998,24776
0.324185599998,24900
0.324185599998,24900
0.324185599998,25024
0.324185599998,25024
0.324185599998,25148
0.324226815999,25148
0.324226815999,25272
0.326609839862,25272
0.326609839862,25148
0.326610415862,25148
0.326610415862,25024
0.326616559861,25024
0.326616559861,24900
0.326617135861,24900
0.326617135861,24776
0.326619523862,24776
0.326619523862,24652
0.326619523862,24652
0.326619523862,24528
0.326619523862,24528
0.326619523862,24404
0.326619523862,24404
0.326619523862,24280
0.326619523862,24280
0.326619523862,24156
0.326619523862,24156
0.326619523862,24032
0.326619523862,24032
0.326619523862,23908
0.326619523862,23908
0.326619523862,23784
0.326619523862,23784
0.326619523862,23660
0.326619523862,23660
0.326619523862,23536
0.326619523862,23536
0.326619523862,23412
0.326619523862,23412
0.326619523862,23288
0.326619523862,23288
0.326619523862,23164
0.326619523862,23164
0.326619523862,23040
0.326619523862,23040
0.326619523862,22916
0.326619523862,22916
0.326619523862,22792
0.326619523862,22792
0.326619523862,22668
0.326619523862,22668
0.326619523862,22544
0.326619523862,22544
0.326619523862,22420
0.326619523862,22420
0.326619523862,22296
0.326619523862,22296
0.326619523862,22172
0.326619523862,22172
0.326619523862,22048
0.326619523862,22048
0.326619523862,21924
0.326619523862,21924
0.326619523862,21800
0.326619523862,21800
0.326619523862,21676
0.326619523862,21676
0.326619523862,21552
0.326619523862,21552
0.326619523862,21428
0.326619523862,21428
0.326619523862,21304
0.326619523862,21304
0.326619523862,21180
0.326619523862,21180
0.326619523862,21056
0.326625283862,21056
0.326625283862,20932
0.326625283862,20932
0.326625283862,20808
0.326625283862,20808
0.326625283862,20684
0.326625283862,20684
0.326625283862,20560
0.326625283862,20560
0.326625283862,20436
0.326625283862,20436
0.326625283862,20312
0.326625283862,20312
0.326625283862,20188
0.326625283862,20188
0.326625283862,20064
0.326625283862,20064
0.326625283862,19940
0.326625283862,19940
0.326625283862,19816
0.326625283862,19816
0.326625283862,19692
0.326625283862,19692
0.326625283862,19568
0.326625283862,19568
0.326625283862,19444
0.326625283862,19444
0.326625283862,19320
0.326625283862,19320
0.326625283862,19196
0.326625283862,19196
0.326625283862,19072
0.326625283862,19072
0.326625283862,18948
0.326625283862,18948
0.326625283862,18824
0.326625283862,18824
0.326625283862,18700
0.326625283862,18700
0.326625283862,18576
0.326625283862,18576
0.326625283862,18452
0.326625283862,18452
0.326625283862,18328
0.326625283862,18328
0.326625283862,18204
0.326625283862,18204
0.326625283862,18080
0.326625283862,18080
0.326625283862,17956
0.326625283862,17956
0.326625283862,17832
0.326625283862,17832
0.326625283862,17708
0.326625283862,17708
0.326625283862,17584
0.326625283862,17584
0.326625283862,17460
0.326632003861,17460
0.326632003861,17336
0.32664772386,17336
0.32664772386,17212
0.32665348386,17212
0.32665348386,17088
0.3360416,17088
0.3360416,17212
0.33608896,17212
0.33608896,17336
0.336137279999,17336
0.336137279999,19816
0.336137279999,19816
0.336137279999,21056
0.336137279999,21056
0.336137279999,21180
0.336179455999,21180
0.336179455999,21304
0.336184639999,21304
0.336184639999,21428
0.336185599998,21428
0.336185599998,21552
0.336185599998,21552
0.336185599998,21676
0.336185599998,21676
0.336185599998,21800
0.336185599998,21800
0.336185599998,21924
0.336185599998,21924
0.336185599998,22048
0.336185599998,22048
0.336185599998,22172
0.336185599998,22172
0.336185599998,22296
0.336185599998,22296
0.336185599998,22420
0.336185599998,22420
0.336185599998,22544
0.336185599998,22544
0.336185599998,22668
0.336185599998,22668
0.336185599998,22792
0.336185599998,22792
0.336185599998,22916
0.336185599998,22916
0.336185599998,23040
0.336185599998,23040
0.336185599998,23164
0.336185599998,23164
0.336185599998,23288
0.336185599998,23288
0.336185599998,23412
0.336185599998,23412
0.336185599998,23536
0.336185599998,23536
0.336185599998,23660
0.336185599998,23660
0.336185599998,23784
0.336185599998,23784
0.336185599998,23908
0.336185599998,23908
0.336185599998,24032
0.336185599998,24032
0.336185599998,24156
0.336185599998,24156
0.336185599998,24280
0.336185599998,24280
0.336185599998,24404
0.336185599998,24404
0.336185599998,24528
0.336185599998,24528
0.336185599998,24652
0.336185599998,24652
0.336185599998,24776
0.336185599998,24776
0.336185599998,24900
0.336185599998,24900
0.336185599998,25024
0.336185599998,25024
0.336185599998,25148
0.336226815999,25148
0.336226815999,25272
0.338609839862,25272
0.338609839862,25148
0.338610415862,25148
0.338610415862,25024
0.338616559861,25024
0.338616559861,24900
0.338617135861,24900
0.338617135861,24776
0.338619523862,24776
0.338619523862,24652
0.338619523862,24652
0.338619523862,24528
0.338619523862,24528
0.338619523862,24404
0.338619523862,24404
0.338619523862,24280
0.338619523862,24280
0.338619523862,24156
0.338619523862,24156
0.338619523862,24032
0.338619523862,24032
0.338619523862,23908
0.338619523862,23908
0.338619523862,23784
0.338619523862,23784
0.338619523862,23660
0.338619523862,23660
0.338619523862,23536
0.338619523862,23536
0.338619523862,23412
0.338619523862,23412
0.338619523862,23288
0.338619523862,23288
0.338619523862,23164
0.338619523862,23164
0.338619523862,23040
0.338619523862,23040
0.338619523862,22916
0.338619523862,22916
0.338619523862,22792
0.338619523862,22792
0.338619523862,22668
0.338619523862,22668
0.338619523862,22544
0.338619523862,22544
0.338619523862,22420
0.338619523862,22420
0.338619523862,22296
0.338619523862,22296
0.338619523862,22172
0.338619523862,22172
0.338619523862,22048
0.338619523862,22048
0.338619523862,21924
0.338619523862,21924
0.338619523862,21800
0.338619523862,21800
0.338619523862,21676
0.338619523862,21676
0.338619523862,21552
0.338619523862,21552
0.338619523862,21428
0.338619523862,21428
0.338619523862,21304
0.338619523862,21304
0.338619523862,21180
0.338619523862,21180
0.338619523862,21056
0.338625283862,21056
0.338625283862,20932
0.338625283862,20932
0.338625283862,20808
0.338625283862,20808
0.338625283862,20684
0.338625283862,20684
0.338625283862,20560
0.338625283862,20560
0.338625283862,20436
0.338625283862,20436
0.338625283862,20312
0.338625283862,20312
0.338625283862,20188
0.338625283862,20188
0.338625283862,20064
0.338625283862,20064
0.338625283862,19940
0.338625283862,19940
0.338625283862,19816
0.338625283862,19816
0.338625283862,19692
0.338625283862,19692
0.338625283862,19568
0.338625283862,19568
0.338625283862,19444
0.338625283862,19444
0.338625283862,19320
0.338625283862,19320
0.338625283862,19196
0.338625283862,19196
0.338625283862,19072
0.338625283862,19072
0.338625283862,18948
0.338625283862,18948
0.338625283862,18824
0.338625283862,18824
0.338625283862,18700
0.338625283862,18700
0.338625283862,18576
0.338625283862,18576
0.338625283862,18452
0.338625283862,18452
0.338625283862,18328
0.338625283862,18328
0.338625283862,18204
0.338625283862,18204
0.338625283862,18080
0.338625283862,18080
0.338625283862,17956
0.338625283862,17956
0.338625283862,17832
0.338625283862,17832
0.338625283862,17708
0.338625283862,17708
0.338625283862,17584
0.338625283862,17584
0.338625283862,17460
0.338632003861,17460
0.338632003861,17336
0.33864772386,17336
0.33864772386,17212
0.33865348386,17212
0.33865348386,17088
0.3480416,17088
0.3480416,17212
0.34808896,17212
0.34808896,17336
0.348137279999,17336
0.348137279999,19816
0.348137279999,19816
0.348137279999,21056
0.348137279999,21056
0.348137279999,21180
0.348179455999,21180
0.348179455999,21304
0.348184639999,21304
0.348184639999,21428
0.348185599998,21428
0.348185599998,21552
0.348185599998,21552
0.348185599998,21676
0.348185599998,21676
0.348185599998,21800
0.348185599998,21800
0.348185599998,21924
0.348185599998,21924
0.348185599998,22048
0.348185599998,22048
0.348185599998,22172
0.348185599998,22172
0.348185599998,22296
